0,"[1, 2]"
1,"[1, 2]"
2,"[1, 2]"
3,"[1, 2, 3, 4, 5, 6, 7]"
4,"[1, 2, 3, 4, 5]"
5,"[1, 2, 3, 4, 5]"
6,"[1, 2]"
7,"[1, 2, 3, 4]"
8,"[1, 2]"
9,"[1, 2]"
10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
11,"[1, 2]"
12,"[1, 2, 3, 4, 5]"
13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
14,"[1, 2, 3, 4, 5, 6]"
15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
16,"[1, 2]"
18,"[1, 2, 3, 4, 5]"
19,"[1, 2]"
20,"[1, 2]"
22,"[1, 2, 3, 4, 5, 6, 7]"
23,"[1, 2]"
24,"[1, 2]"
25,"[1, 2]"
26,"[1, 2]"
28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
29,"[1, 2]"
30,"[1, 2]"
31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
32,"[1, 2, 3, 4, 5]"
33,"[1, 2]"
35,"[1, 2]"
36,"[1, 2]"
37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
38,"[1, 2, 3, 4, 5]"
39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
41,"[1, 2]"
42,"[1, 2]"
43,"[1, 2]"
44,"[1, 2]"
45,"[1, 2]"
46,"[1, 2]"
47,[1]
49,"[1, 2]"
50,"[1, 2]"
51,"[1, 2]"
52,"[1, 2]"
53,"[1, 2]"
54,"[1, 2]"
55,[1]
56,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
57,"[1, 2, 3, 4, 5]"
58,"[1, 2]"
59,[1]
60,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
61,"[1, 2]"
62,"[1, 2]"
63,"[1, 2]"
64,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
65,"[1, 2, 3, 4, 5]"
66,[1]
67,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
68,"[1, 2]"
69,"[1, 2, 3, 4, 5]"
71,"[1, 2]"
72,"[1, 2]"
73,"[1, 2]"
74,"[1, 2]"
75,"[1, 2]"
76,"[1, 2]"
77,"[1, 2]"
78,"[1, 2, 3, 4, 5]"
79,"[1, 2]"
80,"[1, 2]"
81,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
82,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
83,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
84,"[1, 2, 3, 4, 5]"
86,"[1, 2, 3, 4, 5]"
88,"[1, 2, 3, 4]"
89,"[1, 2, 3, 4]"
90,"[1, 2]"
91,"[1, 2, 3, 4, 5]"
92,"[1, 2]"
93,"[1, 2]"
94,"[1, 2]"
95,"[1, 2]"
96,"[1, 2, 3, 4, 5]"
97,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
98,"[1, 2]"
99,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
100,"[1, 2]"
101,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
102,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
103,"[1, 2]"
104,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
105,"[1, 2]"
106,"[1, 2]"
107,[1]
108,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
109,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
110,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
111,"[1, 2, 3]"
112,"[1, 2, 3, 4, 5, 6, 7]"
113,"[1, 2, 3, 4, 5]"
114,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
115,"[1, 2, 3, 4, 5]"
116,"[1, 2, 3]"
117,"[1, 2, 3, 4, 5]"
118,"[1, 2, 3, 4]"
119,"[1, 2]"
120,"[1, 2]"
121,"[1, 2]"
123,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
124,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
125,"[1, 2]"
126,"[1, 2, 3, 4, 5, 6]"
127,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
128,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
129,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
130,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
131,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]"
132,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
